cpa,success_cpa
0.0,0.194
0.0046957954905054,0.125
0.0076082957590887,0.333
0.009352281158238,0.3
0.015026952591026,0.25
0.02601954097748,0.0
0.04,0.333
0.0453846153846154,0.0
0.05,0.19
0.0595631825273011,1.0
0.0653432137285491,0.25
0.065498,0.0
0.07125,0.0
0.0766666666666667,0.0
0.077131,0.0
0.0788732394366197,0.0
0.0795258166491043,0.5
0.0804180064308682,0.429
0.0806865689198725,0.0
0.0813685344827586,0.25
0.0827155519742143,0.0
0.0835287485907554,0.0
0.0837022381013384,0.0
0.0838655462184874,0.0
0.0842873432155074,0.2
0.0848603351955307,0.0
0.0891666666666667,0.5
0.0903755364806867,0.0
0.0909171597633136,0.5
0.0957384166374102,0.0
0.0972258064516129,0.0
0.0979661016949153,0.0
0.0985041551246537,0.5
0.1,0.444
0.100914127423823,0.0
0.103976352718932,1.0
0.105275910466691,0.25
0.106562942008487,0.25
0.107578347578348,0.143
0.109285714285714,0.0
0.11046783625731,0.0
0.111137440758294,0.0
0.112360248447205,0.5
0.113166926677067,0.2
0.1132223903177,1.0
0.113757763975155,0.333
0.114417475728155,0.5
0.114976303317536,0.0
0.115424528301887,0.333
0.115543964232489,0.0
0.116131070171038,0.25
0.116347962382445,0.75
0.116599378881988,0.2
0.116921898928024,0.5
0.117231726283048,0.667
0.118302540415704,1.0
0.118370748899385,0.0
0.12,0.197
0.121014492753623,0.0
0.12109634551495,1.0
0.121239935587762,0.0
0.121666666666667,0.0
0.122456747404844,0.2
0.122817133443163,0.3
0.12385737439222,0.333
0.123995137763371,0.0
0.124058441558442,0.0
0.124117647058824,0.667
0.124196428571429,0.091
0.124260162601626,0.0
0.124526678141136,1.0
0.124767346938776,0.0
0.125083612040134,0.0
0.125415224913495,0.0
0.125719063545151,0.2
0.126242590243902,0.0
0.126606851549755,0.25
0.127041387501773,1.0
0.127297762478485,0.333
0.127656765676568,0.154
0.128358778625954,0.0
0.128615384615385,0.5
0.129420289855072,0.143
0.129629032258065,0.333
0.131135225375626,0.0
0.131136363636364,0.5
0.131223404255319,0.0
0.131515151515152,0.0
0.131736227045075,0.0
0.131750599520384,0.0
0.133161720039779,0.5
0.133167938931298,0.0
0.133333333333333,1.0
0.133384615384615,0.0
0.1335,0.0
0.133926343963391,0.0
